feature,ref_exp_min,ref_exp_median,ref_exp_max,test_exp_p10,test_exp_p50,test_exp_p90
BT,-8.140008188452102,0.39047962437266875,7.881432480696374,-2.325179340909545,0.15596553075272104,1.6885706598529042
IP,-1.141393550671371,0.8621962187770633,3.993162762872551,-0.16798056905263012,1.26309564735035,2.824662353100371
NEL,-1.5879080087728792,0.013756866613194984,1.6541800734165502,-0.7924235553822749,0.18088877535440656,0.9667633434557975
PL,-2.1311227919197444,-0.5408010126607246,0.6044491676786543,-1.3790497274417122,-0.7665809970241542,-0.17076693342025812
RGEO,-15.208725230164152,1.1939032757806438,24.26711150307227,-0.4726752337301561,2.6169265809840105,6.544961241550056
EPSILON,-6.987071517858226,1.24110591151147,8.054198906410132,-3.043068664374405,0.5442610482543357,4.432439050745495
KAPPA,-10.38623890054466,-0.9239280895280063,8.927298270360128,-7.166906447443082,1.089124067254526,6.191406304921921
DELTA,-12.995335154386856,2.00208013571875,13.394072502762134,-5.058256041729024,1.8257239860822772,8.192772815438149
MEFF,-12.34915666672815,0.9935577915240061,10.022728734944785,-2.17249634889034,0.21414210298762987,2.319357420398473
