trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
5,[16],7,3,500,0.001,120,0.0001,1.0,0.5019348081816526,0.4620878994464874,-8.079766273498535,0.011606354818404576,0.009465193375945091,0.35940951108932495,0.47783395648002625
16,[8],5,5,1000,0.001,120,0.001,2.0,0.546899195544554,0.3609960377216339,-9.779399871826172,0.021668785351427525,0.0103959571570158,0.2953684628009796,0.5587524771690369
1,"[16, 8]",5,5,500,0.001,60,1e-05,0.0,0.5540825405896401,0.4349190592765808,-10.064427375793457,0.018022801157794897,0.011951310560107231,0.3580998182296753,0.653236985206604
6,[16],5,5,1000,0.0003,60,0.0,2.0,0.5979487133631424,0.4682411551475525,-11.885695457458496,0.019264521832527987,0.012474825605750084,0.3149203062057495,0.6136447787284851
13,"[8, 4]",3,3,500,0.0003,60,0.0,0.0,0.6186875812758984,0.5837715268135071,-12.795035362243652,0.011621739891465536,0.009804247878491879,0.48059263825416565,0.5300976634025574
14,[8],3,5,500,0.001,60,0.001,1.0,0.6895201004824625,0.6760145425796509,-16.134597778320312,0.016340560193351884,0.013614184223115444,0.47871705889701843,0.7088077664375305
7,[8],7,5,1000,0.001,120,0.0001,1.0,0.7043993527823729,0.5943869948387146,-16.882076263427734,0.024876864338414108,0.018125832080841064,0.6460739374160767,0.9507891535758972
3,[8],3,5,500,0.0003,60,0.0001,0.0,0.717853526104273,0.6687525510787964,-17.571701049804688,0.011366884463693563,0.010172433219850063,0.5321365594863892,0.559372067451477
12,"[16, 8]",3,5,500,0.0003,120,0.0001,0.0,0.7475181284591234,0.6547203660011292,-19.138330459594727,0.02613781239878688,0.018143262714147568,0.39157819747924805,0.9145050644874573
2,[8],7,3,1000,0.001,60,0.0,0.0,0.9279222800044068,0.8665326237678528,-30.031532287597656,0.03482298712978124,0.02844606712460518,1.1694443225860596,1.5202594995498657
11,[8],5,5,1000,0.0003,120,0.0001,2.0,1.0594125094004496,0.6994609832763672,-39.44922637939453,0.06658269077868464,0.03780423477292061,0.2137334644794464,1.846447229385376
8,[8],7,3,500,0.001,60,0.001,2.0,1.0739587087596654,0.8155831694602966,-40.567623138427734,0.05778056757778234,0.037039607763290405,0.4670504331588745,1.9365246295928955
15,[8],3,5,500,0.001,60,0.0,2.0,1.0863954415531902,1.0689327716827393,-41.535926818847656,0.019005544580583594,0.016816521063447,0.699246883392334,0.8907781839370728
4,[16],7,5,1000,0.0003,120,0.001,1.0,1.1210555757941554,0.7578357458114624,-44.2933349609375,0.07419249735365158,0.04169303551316261,0.3520668148994446,2.0802109241485596
9,"[16, 8]",7,3,1000,0.001,60,0.001,2.0,1.1481356580942481,1.0838450193405151,-46.507965087890625,0.04052588448712363,0.037411462515592575,2.3156771659851074,2.1650097370147705
10,"[8, 4]",7,5,500,0.001,60,0.0,1.0,1.6836083360646434,1.653580904006958,-101.15559387207031,0.02934529059051897,0.024663519114255905,0.8551163077354431,1.2911584377288818
