epoch,train_mse,val_mse
1,0.9651270133214236,1.9658401012420654
2,0.781835013471526,1.2012754678726196
3,0.5148351485518681,0.33775195479393005
4,0.29420457293139435,0.13013790547847748
5,0.21761307170112265,0.40301278233528137
6,0.2024329790138686,0.5683616399765015
7,0.16903658076089437,0.4278387725353241
8,0.15927097215572802,0.3103940784931183
9,0.1416864237239082,0.3868877589702606
10,0.12982692651290598,0.5056939721107483
11,0.11380044660733253,0.5023819804191589
12,0.1048149938977419,0.44113415479660034
13,0.1033017149724084,0.5100112557411194
14,0.09807222048465278,0.47795340418815613
15,0.08788741456438079,0.5169070363044739
16,0.08766275566062381,0.5102709531784058
17,0.08279824888151414,0.523572564125061
18,0.08353613361467326,0.49277809262275696
19,0.0751041885029729,0.5491285920143127
20,0.07757700455146074,0.5451658368110657
21,0.07574899718698852,0.5427629351615906
22,0.07780201608639628,0.535793662071228
23,0.07507164829670672,0.48138827085494995
24,0.0738099237330489,0.5506551265716553
25,0.07050045144017386,0.5967684984207153
26,0.07067422012227248,0.5486740469932556
27,0.07423850989996107,0.6123713254928589
28,0.07358284676914284,0.5951813459396362
29,0.07297017119451468,0.4962131083011627
30,0.07073180654879686,0.5438846349716187
31,0.070466603648122,0.574630618095398
32,0.0710556159120471,0.5690550208091736
33,0.07025489997038693,0.5583016276359558
34,0.06718287394695464,0.5795000791549683
35,0.0687175366076194,0.5413334369659424
36,0.06618939153405533,0.56190025806427
37,0.06844282882879343,0.5696313977241516
38,0.06842738569565206,0.5728321075439453
39,0.06548251288994116,0.5733399987220764
40,0.0665940915307737,0.5808019042015076
41,0.0633391145981297,0.5838497281074524
42,0.06569850298982816,0.5978506803512573
43,0.06542940389782831,0.5920532941818237
44,0.06570043007627592,0.5863363146781921
45,0.0654654392977034,0.6203956007957458
46,0.06850599148144017,0.6056777238845825
47,0.06816510822366131,0.583070695400238
48,0.06502275649004734,0.5866521000862122
49,0.06708110669774486,0.6028124094009399
50,0.06760765105343662,0.596554696559906
51,0.06426435077745192,0.5985153913497925
52,0.0650546684292165,0.6029071807861328
53,0.06339811386100432,0.6127479672431946
54,0.06208962769312051,0.6133197546005249
