term,coef,ci_low,ci_high,p_value
const,-2.7979496680954665,-2.8452750195348644,-2.7506243166560687,0.0
BT,0.11986482780799963,0.09531750528517675,0.1444121503308225,1.4204995516700074e-21
IP,1.1022171055985637,1.0721044269323485,1.1323297842647788,0.0
NEL,0.11902477971497527,0.10189003218537528,0.13615952724457528,1.0809518077501595e-41
PL,-0.6698415244738876,-0.6810245270933563,-0.6586585218544189,0.0
RGEO,1.4326672519326589,1.3874471466951785,1.4778873571701392,0.0
EPSILON,0.0062407293880088945,-0.05452160045401111,0.0670030592300289,0.8404406108859274
KAPPA,0.6828006768342669,0.6203815647350168,0.745219788933517,7.794049788785903e-99
DELTA,0.31551344367557044,0.2523610466311484,0.3786658407199925,1.6720416113719322e-22
MEFF,0.29886847801238503,0.2685311478139549,0.3292058082108152,5.44257447182432e-81
